name,address,latitude,longitude
McDonald's Sibu,"Shop Lot No. 2 (Ground & 1st Floor) and Shop Lot  No. 4 (Ground Floor), Causeway Road, 96007, Sibu, Sarawak, Malaysia",2.29071,111.826036
McDonald's Miri Permyjaya,"Lot 5993, Block 11, K.B.L.D. Desa Indah 3, Jalan Tudan, Bandar Baru Permyjaya, 98107, Miri, Sarawak, Malaysia",4.471891,114.042879
McDonald's Dungun,"Ground floor & 1st floor, Jalan Baru Pak Sabah, Kuala Dungun, 23000, Dungun, Terengganu, Malaysia",4.755189,103.414715
McDonald's Kulim DT,"Lot no. PT 5734, Mukim Keladi, 09000, Kulim, Kedah, Malaysia",5.383142,100.545774
McDonald's Ulu Tiram DT,"Sebahagian Lot PTD 19827, Mukim Tebrau, Ulu Tiram, 81800, Johor Bahru, Johor, Malaysia",1.594846,103.820079
McDonald's Bandar Puteri DT,"Lot 133826, Lebuh Sanggul 1/KS7, Bandar Puteri, 41200, Klang, Selangor, Malaysia",2.988402,101.46597
McDonald's Senai Airport DT,"Sebahagian Lot PTD 8797, Lapangan Terbang Sultan Ismail, Mukim Senai, 81400, Kulai Jaya, Johor, Malaysia",1.635398,103.663595
McDonald's Petronas Batu Feringi DT,"Lot 697 & Lot 764, Jalan Batu Feringi, Seksyen 2,  Timur Laut, 11600, Bandar Batu Feringi, Pulau Pinang, Malaysia",5.475363,100.251639
McDonald's Kuala Selangor DT,"Lot 640, Teluk Piah, Mukim Kuala Selangor, 45000, Kuala Selangor, Selangor, Malaysia",3.330074,101.258642
McDonald's Mutiara Damansara DT,"Lot 69683, Jalan PJU 7/5, Mutiara Damansara, 47800, Sungai Buloh, Selangor, Malaysia",3.158184,101.613685
McDonald's Semenyih DT,"Lot 1809, Batu 22, Jalan Beranang, Semenyih, 43500, Hulu Langat, Selangor, Malaysia",2.936715,101.852611
McDonald's Parit Raja DT,"Lot 20398 HS (D) 59406, MK Sri Gading, 83300, Batu Pahat, Johor, Malaysia",1.849079,103.076066
McDonald's Tesco Tanjung Pinang,"Lot G10, 11, 12, 13 & 14, Tesco Tanjung Pinang, No 1, Jalan Seri Tanjung Pinang, 10470, Tanjung Tokong, Pulau Pinang, Malaysia",5.458759,100.308592
McDonald's Tesco Seremban 2 DT,"No 1, Jalan Haruan 2, 70300, Seremban, Negeri Sembilan, Malaysia",2.711574,101.915432
McDonald's Mount Austin DT,"Lot 110034, Jalan Austin Height 3, Taman Mount Austin, Mukim Tebrau, 81100, Johor Bahru, Johor, Malaysia",1.557732,103.781671
McDonald's Setia Tropika DT,"Sebahagian Lot 141190, Jalan Setia Tropika 1/21, Taman Setia Tropika, 81100, Johor Bahru, Johor, Malaysia",1.548931,103.714978
